Step,Pow-d - Test/Acc,Pow-d - Test/Acc__MIN,Pow-d - Test/Acc__MAX,GPFL - Test/Acc,GPFL - Test/Acc__MIN,GPFL - Test/Acc__MAX,Random - Test/Acc,Random - Test/Acc__MIN,Random - Test/Acc__MAX,FedCor - Test/Acc,FedCor - Test/Acc__MIN,FedCor - Test/Acc__MAX
83,0.3299,0.3299,0.3299,0.6939,0.6939,0.6939,0.4625,0.4625,0.4625,0.6662,0.6662,0.6662
84,0.3014,0.3014,0.3014,0.5873,0.5873,0.5873,0.2892,0.2892,0.2892,0.665,0.665,0.665
85,0.4189,0.4189,0.4189,0.4698,0.4698,0.4698,0.3628,0.3628,0.3628,0.6675,0.6675,0.6675
86,0.3513,0.3513,0.3513,0.6035,0.6035,0.6035,0.3044,0.3044,0.3044,0.6649,0.6649,0.6649
87,0.4131,0.4131,0.4131,0.4937,0.4937,0.4937,0.4562,0.4562,0.4562,0.6691,0.6691,0.6691
88,0.5037,0.5037,0.5037,0.6451,0.6451,0.6451,0.2599,0.2599,0.2599,0.6457,0.6457,0.6457
89,0.5216,0.5216,0.5216,0.6073,0.6073,0.6073,0.2504,0.2504,0.2504,0.6537,0.6537,0.6537
90,0.3377,0.3377,0.3377,0.6481,0.6481,0.6481,0.4391,0.4391,0.4391,0.627,0.627,0.627
91,0.3467,0.3467,0.3467,0.6313,0.6313,0.6313,0.383,0.383,0.383,0.6611,0.6611,0.6611
92,0.3844,0.3844,0.3844,0.7474,0.7474,0.7474,0.4483,0.4483,0.4483,0.6662,0.6662,0.6662
93,0.2968,0.2968,0.2968,0.7342,0.7342,0.7342,0.4865,0.4865,0.4865,0.6724,0.6724,0.6724
94,0.4822,0.4822,0.4822,0.7171,0.7171,0.7171,0.4788,0.4788,0.4788,0.647,0.647,0.647
95,0.4099,0.4099,0.4099,0.6941,0.6941,0.6941,0.4431,0.4431,0.4431,0.6639,0.6639,0.6639
96,0.3385,0.3385,0.3385,0.6977,0.6977,0.6977,0.5181,0.5181,0.5181,0.6467,0.6467,0.6467
97,0.4551,0.4551,0.4551,0.6622,0.6622,0.6622,0.4501,0.4501,0.4501,0.6573,0.6573,0.6573
98,0.5351,0.5351,0.5351,0.716,0.716,0.716,0.3958,0.3958,0.3958,0.6635,0.6635,0.6635
99,0.3906,0.3906,0.3906,0.66,0.66,0.66,0.493,0.493,0.493,0.6597,0.6597,0.6597
100,0.3484,0.3484,0.3484,0.6889,0.6889,0.6889,0.4893,0.4893,0.4893,0.654,0.654,0.654
101,0.3408,0.3408,0.3408,0.5916,0.5916,0.5916,0.4362,0.4362,0.4362,0.6609,0.6609,0.6609
102,0.3241,0.3241,0.3241,0.5359,0.5359,0.5359,0.5231,0.5231,0.5231,0.6583,0.6583,0.6583
103,0.3695,0.3695,0.3695,0.7266,0.7266,0.7266,0.4601,0.4601,0.4601,0.6485,0.6485,0.6485
104,0.3627,0.3627,0.3627,0.6702,0.6702,0.6702,0.5243,0.5243,0.5243,0.67,0.67,0.67
105,0.5063,0.5063,0.5063,0.7343,0.7343,0.7343,0.3636,0.3636,0.3636,0.6645,0.6645,0.6645
106,0.4875,0.4875,0.4875,0.7105,0.7105,0.7105,0.5135,0.5135,0.5135,0.6537,0.6537,0.6537
107,0.4388,0.4388,0.4388,0.6906,0.6906,0.6906,0.5308,0.5308,0.5308,0.6686,0.6686,0.6686
108,0.3065,0.3065,0.3065,0.7514,0.7514,0.7514,0.4794,0.4794,0.4794,0.6646,0.6646,0.6646
109,0.3038,0.3038,0.3038,0.7336,0.7336,0.7336,0.4665,0.4665,0.4665,0.6634,0.6634,0.6634
110,0.457,0.457,0.457,0.7198,0.7198,0.7198,0.4841,0.4841,0.4841,0.6607,0.6607,0.6607
111,0.306,0.306,0.306,0.6906,0.6906,0.6906,0.4504,0.4504,0.4504,0.657,0.657,0.657
112,0.3907,0.3907,0.3907,0.7,0.7,0.7,0.4903,0.4903,0.4903,0.6631,0.6631,0.6631
113,0.4604,0.4604,0.4604,0.5387,0.5387,0.5387,0.5306,0.5306,0.5306,0.6746,0.6746,0.6746
114,0.3337,0.3337,0.3337,0.5578,0.5578,0.5578,0.5468,0.5468,0.5468,0.674,0.674,0.674
115,0.2937,0.2937,0.2937,0.5704,0.5704,0.5704,0.5324,0.5324,0.5324,0.6491,0.6491,0.6491
116,0.4851,0.4851,0.4851,0.6417,0.6417,0.6417,0.3919,0.3919,0.3919,0.6521,0.6521,0.6521
117,0.2961,0.2961,0.2961,0.513,0.513,0.513,0.2913,0.2913,0.2913,0.654,0.654,0.654
118,0.4172,0.4172,0.4172,0.5954,0.5954,0.5954,0.3291,0.3291,0.3291,0.6628,0.6628,0.6628
119,0.3256,0.3256,0.3256,0.5421,0.5421,0.5421,0.427,0.427,0.427,0.6702,0.6702,0.6702
120,0.5096,0.5096,0.5096,0.6159,0.6159,0.6159,0.4235,0.4235,0.4235,0.6321,0.6321,0.6321
121,0.4909,0.4909,0.4909,0.681,0.681,0.681,0.5529,0.5529,0.5529,0.6713,0.6713,0.6713
122,0.4297,0.4297,0.4297,0.6213,0.6213,0.6213,0.5461,0.5461,0.5461,0.6702,0.6702,0.6702
123,0.5731,0.5731,0.5731,0.6698,0.6698,0.6698,0.3467,0.3467,0.3467,0.67,0.67,0.67
124,0.3571,0.3571,0.3571,0.7111,0.7111,0.7111,0.3669,0.3669,0.3669,0.6467,0.6467,0.6467
125,0.5663,0.5663,0.5663,0.6694,0.6694,0.6694,0.4619,0.4619,0.4619,0.6758,0.6758,0.6758
126,0.5273,0.5273,0.5273,0.6947,0.6947,0.6947,0.4591,0.4591,0.4591,0.6721,0.6721,0.6721
127,0.5483,0.5483,0.5483,0.6895,0.6895,0.6895,0.5098,0.5098,0.5098,0.6456,0.6456,0.6456
128,0.4654,0.4654,0.4654,0.7049,0.7049,0.7049,0.4952,0.4952,0.4952,0.6472,0.6472,0.6472
129,0.4423,0.4423,0.4423,0.7355,0.7355,0.7355,0.4838,0.4838,0.4838,0.6571,0.6571,0.6571
130,0.3781,0.3781,0.3781,0.7065,0.7065,0.7065,0.4185,0.4185,0.4185,0.6579,0.6579,0.6579
131,0.2779,0.2779,0.2779,0.6894,0.6894,0.6894,0.4165,0.4165,0.4165,0.6447,0.6447,0.6447
