Step,Pow-d - Test/Acc,Pow-d - Test/Acc__MIN,Pow-d - Test/Acc__MAX,GPFL - Test/Acc,GPFL - Test/Acc__MIN,GPFL - Test/Acc__MAX,Random - Test/Acc,Random - Test/Acc__MIN,Random - Test/Acc__MAX,FedCor - Test/Acc,FedCor - Test/Acc__MIN,FedCor - Test/Acc__MAX
438,0.5916,0.5916,0.5916,0.7834,0.7834,0.7834,0.4028,0.4028,0.4028,0.6335,0.6335,0.6335
439,0.4791,0.4791,0.4791,0.7745,0.7745,0.7745,0.4876,0.4876,0.4876,0.6219,0.6219,0.6219
440,0.5402,0.5402,0.5402,0.7547,0.7547,0.7547,0.4808,0.4808,0.4808,0.6215,0.6215,0.6215
441,0.461,0.461,0.461,0.7951,0.7951,0.7951,0.419,0.419,0.419,0.6239,0.6239,0.6239
442,0.5363,0.5363,0.5363,0.7551,0.7551,0.7551,0.5156,0.5156,0.5156,0.6367,0.6367,0.6367
443,0.584,0.584,0.584,0.7779,0.7779,0.7779,0.3934,0.3934,0.3934,0.6121,0.6121,0.6121
444,0.3596,0.3596,0.3596,0.6434,0.6434,0.6434,0.4454,0.4454,0.4454,0.6305,0.6305,0.6305
445,0.5715,0.5715,0.5715,0.7925,0.7925,0.7925,0.4948,0.4948,0.4948,0.6242,0.6242,0.6242
446,0.5809,0.5809,0.5809,0.7302,0.7302,0.7302,0.5359,0.5359,0.5359,0.648,0.648,0.648
447,0.5558,0.5558,0.5558,0.76,0.76,0.76,0.568,0.568,0.568,0.6146,0.6146,0.6146
448,0.5006,0.5006,0.5006,0.7572,0.7572,0.7572,0.5899,0.5899,0.5899,0.621,0.621,0.621
449,0.4831,0.4831,0.4831,0.7859,0.7859,0.7859,0.5256,0.5256,0.5256,0.6115,0.6115,0.6115
450,0.5078,0.5078,0.5078,0.7651,0.7651,0.7651,0.506,0.506,0.506,0.6186,0.6186,0.6186
451,0.4314,0.4314,0.4314,0.7785,0.7785,0.7785,0.5145,0.5145,0.5145,0.6255,0.6255,0.6255
452,0.5871,0.5871,0.5871,0.7781,0.7781,0.7781,0.5941,0.5941,0.5941,0.6526,0.6526,0.6526
453,0.4508,0.4508,0.4508,0.782,0.782,0.782,0.4887,0.4887,0.4887,0.624,0.624,0.624
454,0.4663,0.4663,0.4663,0.7627,0.7627,0.7627,0.497,0.497,0.497,0.641,0.641,0.641
455,0.4257,0.4257,0.4257,0.7772,0.7772,0.7772,0.5923,0.5923,0.5923,0.6337,0.6337,0.6337
456,0.4636,0.4636,0.4636,0.7678,0.7678,0.7678,0.4574,0.4574,0.4574,0.6358,0.6358,0.6358
457,0.5224,0.5224,0.5224,0.7248,0.7248,0.7248,0.3555,0.3555,0.3555,0.6205,0.6205,0.6205
458,0.5193,0.5193,0.5193,0.6869,0.6869,0.6869,0.3661,0.3661,0.3661,0.6361,0.6361,0.6361
459,0.5908,0.5908,0.5908,0.6738,0.6738,0.6738,0.5316,0.5316,0.5316,0.6588,0.6588,0.6588
460,0.5173,0.5173,0.5173,0.7901,0.7901,0.7901,0.6245,0.6245,0.6245,0.6228,0.6228,0.6228
461,0.4627,0.4627,0.4627,0.7728,0.7728,0.7728,0.4853,0.4853,0.4853,0.6368,0.6368,0.6368
462,0.5222,0.5222,0.5222,0.7829,0.7829,0.7829,0.5447,0.5447,0.5447,0.6251,0.6251,0.6251
463,0.5105,0.5105,0.5105,0.7786,0.7786,0.7786,0.5222,0.5222,0.5222,0.6735,0.6735,0.6735
464,0.5576,0.5576,0.5576,0.7794,0.7794,0.7794,0.5424,0.5424,0.5424,0.6293,0.6293,0.6293
465,0.5214,0.5214,0.5214,0.7776,0.7776,0.7776,0.5838,0.5838,0.5838,0.628,0.628,0.628
466,0.4448,0.4448,0.4448,0.7701,0.7701,0.7701,0.579,0.579,0.579,0.608,0.608,0.608
467,0.4598,0.4598,0.4598,0.7701,0.7701,0.7701,0.4667,0.4667,0.4667,0.6357,0.6357,0.6357
468,0.4481,0.4481,0.4481,0.7847,0.7847,0.7847,0.525,0.525,0.525,0.631,0.631,0.631
469,0.4709,0.4709,0.4709,0.7218,0.7218,0.7218,0.626,0.626,0.626,0.6385,0.6385,0.6385
470,0.4827,0.4827,0.4827,0.6774,0.6774,0.6774,0.464,0.464,0.464,0.6325,0.6325,0.6325
471,0.4278,0.4278,0.4278,0.7598,0.7598,0.7598,0.4605,0.4605,0.4605,0.5585,0.5585,0.5585
472,0.5051,0.5051,0.5051,0.7683,0.7683,0.7683,0.4533,0.4533,0.4533,0.598,0.598,0.598
473,0.5577,0.5577,0.5577,0.7929,0.7929,0.7929,0.5256,0.5256,0.5256,0.6318,0.6318,0.6318
474,0.4339,0.4339,0.4339,0.7937,0.7937,0.7937,0.5294,0.5294,0.5294,0.6098,0.6098,0.6098
475,0.5346,0.5346,0.5346,0.7901,0.7901,0.7901,0.5364,0.5364,0.5364,0.605,0.605,0.605
476,0.3954,0.3954,0.3954,0.7579,0.7579,0.7579,0.5383,0.5383,0.5383,0.6431,0.6431,0.6431
477,0.4318,0.4318,0.4318,0.7824,0.7824,0.7824,0.5645,0.5645,0.5645,0.6154,0.6154,0.6154
478,0.385,0.385,0.385,0.7321,0.7321,0.7321,0.4995,0.4995,0.4995,0.6501,0.6501,0.6501
479,0.3762,0.3762,0.3762,0.7363,0.7363,0.7363,0.531,0.531,0.531,0.6569,0.6569,0.6569
480,0.4536,0.4536,0.4536,0.7826,0.7826,0.7826,0.5281,0.5281,0.5281,0.675,0.675,0.675
481,0.4513,0.4513,0.4513,0.7798,0.7798,0.7798,0.4556,0.4556,0.4556,0.3781,0.3781,0.3781
482,0.4449,0.4449,0.4449,0.7813,0.7813,0.7813,0.5438,0.5438,0.5438,0.5716,0.5716,0.5716
483,0.339,0.339,0.339,0.7436,0.7436,0.7436,0.4956,0.4956,0.4956,0.6099,0.6099,0.6099
484,0.5633,0.5633,0.5633,0.6253,0.6253,0.6253,0.6091,0.6091,0.6091,0.4393,0.4393,0.4393
485,0.4155,0.4155,0.4155,0.7447,0.7447,0.7447,0.4774,0.4774,0.4774,0.5928,0.5928,0.5928
486,0.495,0.495,0.495,0.7562,0.7562,0.7562,0.5325,0.5325,0.5325,0.6128,0.6128,0.6128
487,0.4622,0.4622,0.4622,0.7613,0.7613,0.7613,0.5155,0.5155,0.5155,0.6173,0.6173,0.6173
488,0.5732,0.5732,0.5732,0.7761,0.7761,0.7761,0.5417,0.5417,0.5417,0.6376,0.6376,0.6376
489,0.5417,0.5417,0.5417,0.7851,0.7851,0.7851,0.5441,0.5441,0.5441,0.6177,0.6177,0.6177
490,0.5647,0.5647,0.5647,0.7798,0.7798,0.7798,0.5679,0.5679,0.5679,0.4814,0.4814,0.4814
491,0.5448,0.5448,0.5448,0.7698,0.7698,0.7698,0.4825,0.4825,0.4825,0.6074,0.6074,0.6074
492,0.5138,0.5138,0.5138,0.7781,0.7781,0.7781,0.5107,0.5107,0.5107,0.6238,0.6238,0.6238
493,0.3338,0.3338,0.3338,0.7902,0.7902,0.7902,0.5723,0.5723,0.5723,0.4484,0.4484,0.4484
494,0.4755,0.4755,0.4755,0.7629,0.7629,0.7629,0.5228,0.5228,0.5228,0.6053,0.6053,0.6053
495,0.5383,0.5383,0.5383,0.765,0.765,0.765,0.495,0.495,0.495,0.5868,0.5868,0.5868
496,0.3527,0.3527,0.3527,0.7946,0.7946,0.7946,0.4559,0.4559,0.4559,0.6303,0.6303,0.6303
497,0.5037,0.5037,0.5037,0.7877,0.7877,0.7877,0.425,0.425,0.425,0.6098,0.6098,0.6098
498,0.4048,0.4048,0.4048,0.7288,0.7288,0.7288,0.4496,0.4496,0.4496,0.4658,0.4658,0.4658
499,0.5072,0.5072,0.5072,0.7314,0.7314,0.7314,0.4964,0.4964,0.4964,0.6087,0.6087,0.6087
