Step,GPFL - Test/Acc,GPFL - Test/Acc__MIN,GPFL - Test/Acc__MAX,Pow-d - Test/Acc,Pow-d - Test/Acc__MIN,Pow-d - Test/Acc__MAX,FedCor - Test/Acc,FedCor - Test/Acc__MIN,FedCor - Test/Acc__MAX,Random - Test/Acc,Random - Test/Acc__MIN,Random - Test/Acc__MAX
92,0.6113,0.6113,0.6113,0.5171,0.5171,0.5171,0.6609,0.6609,0.6609,0.4283,0.4283,0.4283
93,0.6131,0.6131,0.6131,0.5136,0.5136,0.5136,0.6103,0.6103,0.6103,0.4685,0.4685,0.4685
94,0.6385,0.6385,0.6385,0.6547,0.6547,0.6547,0.6845,0.6845,0.6845,0.4877,0.4877,0.4877
95,0.6247,0.6247,0.6247,0.4349,0.4349,0.4349,0.6968,0.6968,0.6968,0.4831,0.4831,0.4831
96,0.6195,0.6195,0.6195,0.5416,0.5416,0.5416,0.6469,0.6469,0.6469,0.5448,0.5448,0.5448
97,0.6505,0.6505,0.6505,0.577,0.577,0.577,0.6657,0.6657,0.6657,0.5419,0.5419,0.5419
98,0.5938,0.5938,0.5938,0.4988,0.4988,0.4988,0.6131,0.6131,0.6131,0.5711,0.5711,0.5711
99,0.6383,0.6383,0.6383,0.5968,0.5968,0.5968,0.6222,0.6222,0.6222,0.4724,0.4724,0.4724
100,0.5701,0.5701,0.5701,0.5289,0.5289,0.5289,0.633,0.633,0.633,0.4723,0.4723,0.4723
101,0.648,0.648,0.648,0.527,0.527,0.527,0.6009,0.6009,0.6009,0.5479,0.5479,0.5479
102,0.5569,0.5569,0.5569,0.5043,0.5043,0.5043,0.6001,0.6001,0.6001,0.5417,0.5417,0.5417
103,0.683,0.683,0.683,0.5203,0.5203,0.5203,0.6569,0.6569,0.6569,0.5556,0.5556,0.5556
104,0.668,0.668,0.668,0.6263,0.6263,0.6263,0.5479,0.5479,0.5479,0.5827,0.5827,0.5827
105,0.7422,0.7422,0.7422,0.5838,0.5838,0.5838,0.5905,0.5905,0.5905,0.5974,0.5974,0.5974
106,0.6989,0.6989,0.6989,0.5431,0.5431,0.5431,0.5826,0.5826,0.5826,0.5261,0.5261,0.5261
107,0.7079,0.7079,0.7079,0.5276,0.5276,0.5276,0.559,0.559,0.559,0.518,0.518,0.518
