Step,GPFL - Test/Acc,GPFL - Test/Acc__MIN,GPFL - Test/Acc__MAX,Pow-d - Test/Acc,Pow-d - Test/Acc__MIN,Pow-d - Test/Acc__MAX,FedCor - Test/Acc,FedCor - Test/Acc__MIN,FedCor - Test/Acc__MAX,Random - Test/Acc,Random - Test/Acc__MIN,Random - Test/Acc__MAX
431,0.7317,0.7317,0.7317,0.6115,0.6115,0.6115,0.6428,0.6428,0.6428,0.5838,0.5838,0.5838
432,0.7686,0.7686,0.7686,0.6441,0.6441,0.6441,0.6452,0.6452,0.6452,0.5813,0.5813,0.5813
433,0.7767,0.7767,0.7767,0.6348,0.6348,0.6348,0.5656,0.5656,0.5656,0.5302,0.5302,0.5302
434,0.7618,0.7618,0.7618,0.5509,0.5509,0.5509,0.6177,0.6177,0.6177,0.5348,0.5348,0.5348
435,0.733,0.733,0.733,0.6449,0.6449,0.6449,0.6376,0.6376,0.6376,0.6143,0.6143,0.6143
436,0.7589,0.7589,0.7589,0.5193,0.5193,0.5193,0.6854,0.6854,0.6854,0.6064,0.6064,0.6064
437,0.7033,0.7033,0.7033,0.5281,0.5281,0.5281,0.688,0.688,0.688,0.5487,0.5487,0.5487
438,0.6938,0.6938,0.6938,0.6184,0.6184,0.6184,0.6336,0.6336,0.6336,0.5997,0.5997,0.5997
439,0.7632,0.7632,0.7632,0.565,0.565,0.565,0.689,0.689,0.689,0.6099,0.6099,0.6099
440,0.6644,0.6644,0.6644,0.5571,0.5571,0.5571,0.6872,0.6872,0.6872,0.5941,0.5941,0.5941
441,0.7413,0.7413,0.7413,0.499,0.499,0.499,0.6598,0.6598,0.6598,0.6218,0.6218,0.6218
442,0.7256,0.7256,0.7256,0.5401,0.5401,0.5401,0.6883,0.6883,0.6883,0.6142,0.6142,0.6142
443,0.7035,0.7035,0.7035,0.5642,0.5642,0.5642,0.6368,0.6368,0.6368,0.6486,0.6486,0.6486
444,0.7984,0.7984,0.7984,0.6207,0.6207,0.6207,0.662,0.662,0.662,0.5969,0.5969,0.5969
445,0.7506,0.7506,0.7506,0.6165,0.6165,0.6165,0.6661,0.6661,0.6661,0.5609,0.5609,0.5609
446,0.7727,0.7727,0.7727,0.4288,0.4288,0.4288,0.65,0.65,0.65,0.5777,0.5777,0.5777
447,0.7654,0.7654,0.7654,0.6644,0.6644,0.6644,0.6648,0.6648,0.6648,0.5787,0.5787,0.5787
448,0.6962,0.6962,0.6962,0.532,0.532,0.532,0.6925,0.6925,0.6925,0.5943,0.5943,0.5943
449,0.8024,0.8024,0.8024,0.5113,0.5113,0.5113,0.616,0.616,0.616,0.5131,0.5131,0.5131
450,0.7809,0.7809,0.7809,0.6479,0.6479,0.6479,0.6102,0.6102,0.6102,0.6596,0.6596,0.6596
451,0.7019,0.7019,0.7019,0.5817,0.5817,0.5817,0.6612,0.6612,0.6612,0.5244,0.5244,0.5244
452,0.746,0.746,0.746,0.5663,0.5663,0.5663,0.536,0.536,0.536,0.6646,0.6646,0.6646
453,0.7344,0.7344,0.7344,0.5625,0.5625,0.5625,0.658,0.658,0.658,0.6147,0.6147,0.6147
454,0.7345,0.7345,0.7345,0.5388,0.5388,0.5388,0.6432,0.6432,0.6432,0.6237,0.6237,0.6237
455,0.7163,0.7163,0.7163,0.6326,0.6326,0.6326,0.5816,0.5816,0.5816,0.5186,0.5186,0.5186
456,0.6983,0.6983,0.6983,0.4834,0.4834,0.4834,0.645,0.645,0.645,0.5797,0.5797,0.5797
457,0.7219,0.7219,0.7219,0.5693,0.5693,0.5693,0.6037,0.6037,0.6037,0.4379,0.4379,0.4379
458,0.7307,0.7307,0.7307,0.5993,0.5993,0.5993,0.65,0.65,0.65,0.4984,0.4984,0.4984
459,0.7335,0.7335,0.7335,0.5927,0.5927,0.5927,0.5688,0.5688,0.5688,0.591,0.591,0.591
460,0.7322,0.7322,0.7322,0.5444,0.5444,0.5444,0.6795,0.6795,0.6795,0.6127,0.6127,0.6127
461,0.7196,0.7196,0.7196,0.661,0.661,0.661,0.6657,0.6657,0.6657,0.5721,0.5721,0.5721
462,0.7565,0.7565,0.7565,0.4951,0.4951,0.4951,0.6034,0.6034,0.6034,0.6222,0.6222,0.6222
463,0.7598,0.7598,0.7598,0.5333,0.5333,0.5333,0.6235,0.6235,0.6235,0.5132,0.5132,0.5132
464,0.7532,0.7532,0.7532,0.5896,0.5896,0.5896,0.6318,0.6318,0.6318,0.5405,0.5405,0.5405
465,0.738,0.738,0.738,0.6372,0.6372,0.6372,0.6697,0.6697,0.6697,0.5352,0.5352,0.5352
466,0.7793,0.7793,0.7793,0.5574,0.5574,0.5574,0.5461,0.5461,0.5461,0.581,0.581,0.581
467,0.7912,0.7912,0.7912,0.6061,0.6061,0.6061,0.6029,0.6029,0.6029,0.5665,0.5665,0.5665
468,0.7865,0.7865,0.7865,0.5317,0.5317,0.5317,0.6213,0.6213,0.6213,0.6043,0.6043,0.6043
469,0.7451,0.7451,0.7451,0.6385,0.6385,0.6385,0.68,0.68,0.68,0.599,0.599,0.599
470,0.7132,0.7132,0.7132,0.6272,0.6272,0.6272,0.6577,0.6577,0.6577,0.5226,0.5226,0.5226
471,0.7325,0.7325,0.7325,0.5738,0.5738,0.5738,0.5759,0.5759,0.5759,0.5036,0.5036,0.5036
472,0.6769,0.6769,0.6769,0.6298,0.6298,0.6298,0.6723,0.6723,0.6723,0.4747,0.4747,0.4747
473,0.7907,0.7907,0.7907,0.6292,0.6292,0.6292,0.7017,0.7017,0.7017,0.5367,0.5367,0.5367
474,0.7714,0.7714,0.7714,0.5331,0.5331,0.5331,0.5717,0.5717,0.5717,0.6204,0.6204,0.6204
475,0.7847,0.7847,0.7847,0.5676,0.5676,0.5676,0.6721,0.6721,0.6721,0.5532,0.5532,0.5532
476,0.7607,0.7607,0.7607,0.6055,0.6055,0.6055,0.6612,0.6612,0.6612,0.529,0.529,0.529
477,0.7891,0.7891,0.7891,0.5898,0.5898,0.5898,0.6636,0.6636,0.6636,0.6284,0.6284,0.6284
478,0.7753,0.7753,0.7753,0.5268,0.5268,0.5268,0.6385,0.6385,0.6385,0.6202,0.6202,0.6202
479,0.7739,0.7739,0.7739,0.6387,0.6387,0.6387,0.6837,0.6837,0.6837,0.4942,0.4942,0.4942
480,0.7806,0.7806,0.7806,0.6492,0.6492,0.6492,0.6431,0.6431,0.6431,0.5165,0.5165,0.5165
481,0.688,0.688,0.688,0.6432,0.6432,0.6432,0.6413,0.6413,0.6413,0.6085,0.6085,0.6085
482,0.7155,0.7155,0.7155,0.6222,0.6222,0.6222,0.6466,0.6466,0.6466,0.566,0.566,0.566
483,0.689,0.689,0.689,0.6404,0.6404,0.6404,0.7165,0.7165,0.7165,0.6383,0.6383,0.6383
484,0.7516,0.7516,0.7516,0.6187,0.6187,0.6187,0.6902,0.6902,0.6902,0.6142,0.6142,0.6142
485,0.7135,0.7135,0.7135,0.5255,0.5255,0.5255,0.691,0.691,0.691,0.6205,0.6205,0.6205
486,0.6863,0.6863,0.6863,0.5483,0.5483,0.5483,0.7222,0.7222,0.7222,0.5656,0.5656,0.5656
487,0.7118,0.7118,0.7118,0.5664,0.5664,0.5664,0.6474,0.6474,0.6474,0.6083,0.6083,0.6083
488,0.7173,0.7173,0.7173,0.6036,0.6036,0.6036,0.6265,0.6265,0.6265,0.6373,0.6373,0.6373
489,0.7121,0.7121,0.7121,0.5341,0.5341,0.5341,0.5648,0.5648,0.5648,0.6148,0.6148,0.6148
490,0.7636,0.7636,0.7636,0.5759,0.5759,0.5759,0.6819,0.6819,0.6819,0.6163,0.6163,0.6163
491,0.7684,0.7684,0.7684,0.6162,0.6162,0.6162,0.6873,0.6873,0.6873,0.6289,0.6289,0.6289
492,0.7603,0.7603,0.7603,0.4271,0.4271,0.4271,0.662,0.662,0.662,0.5114,0.5114,0.5114
493,0.7669,0.7669,0.7669,0.6641,0.6641,0.6641,0.6395,0.6395,0.6395,0.5093,0.5093,0.5093
494,0.7587,0.7587,0.7587,0.6565,0.6565,0.6565,0.5409,0.5409,0.5409,0.4641,0.4641,0.4641
495,0.7653,0.7653,0.7653,0.6388,0.6388,0.6388,0.6733,0.6733,0.6733,0.4678,0.4678,0.4678
496,0.7289,0.7289,0.7289,0.6226,0.6226,0.6226,0.6569,0.6569,0.6569,0.5291,0.5291,0.5291
497,0.705,0.705,0.705,0.5538,0.5538,0.5538,0.5538,0.5538,0.5538,0.5911,0.5911,0.5911
498,0.6825,0.6825,0.6825,0.5499,0.5499,0.5499,0.6482,0.6482,0.6482,0.519,0.519,0.519
499,0.6952,0.6952,0.6952,0.5747,0.5747,0.5747,0.686,0.686,0.686,0.5445,0.5445,0.5445
