Step,Pow-d - Test/Acc,Pow-d - Test/Acc__MIN,Pow-d - Test/Acc__MAX,GPFL - Test/Acc,GPFL - Test/Acc__MIN,GPFL - Test/Acc__MAX,FedCor - Test/Acc,FedCor - Test/Acc__MIN,FedCor - Test/Acc__MAX,Random - Test/Acc,Random - Test/Acc__MIN,Random - Test/Acc__MAX
67,0.5679,0.5679,0.5679,0.6487,0.6487,0.6487,0.6323,0.6323,0.6323,0.5553,0.5553,0.5553
68,0.5017,0.5017,0.5017,0.6684,0.6684,0.6684,0.5837,0.5837,0.5837,0.5929,0.5929,0.5929
69,0.5615,0.5615,0.5615,0.659,0.659,0.659,0.6377,0.6377,0.6377,0.6513,0.6513,0.6513
70,0.6466,0.6466,0.6466,0.6592,0.6592,0.6592,0.6804,0.6804,0.6804,0.5315,0.5315,0.5315
71,0.638,0.638,0.638,0.6588,0.6588,0.6588,0.6872,0.6872,0.6872,0.6439,0.6439,0.6439
72,0.5326,0.5326,0.5326,0.7191,0.7191,0.7191,0.6944,0.6944,0.6944,0.472,0.472,0.472
73,0.6061,0.6061,0.6061,0.6759,0.6759,0.6759,0.6944,0.6944,0.6944,0.5018,0.5018,0.5018
74,0.5824,0.5824,0.5824,0.6879,0.6879,0.6879,0.6971,0.6971,0.6971,0.5378,0.5378,0.5378
75,0.7085,0.7085,0.7085,0.6496,0.6496,0.6496,0.6944,0.6944,0.6944,0.6097,0.6097,0.6097
76,0.6385,0.6385,0.6385,0.7428,0.7428,0.7428,0.6913,0.6913,0.6913,0.5634,0.5634,0.5634
77,0.6581,0.6581,0.6581,0.7088,0.7088,0.7088,0.6965,0.6965,0.6965,0.5852,0.5852,0.5852
78,0.5432,0.5432,0.5432,0.738,0.738,0.738,0.6866,0.6866,0.6866,0.5043,0.5043,0.5043
79,0.6302,0.6302,0.6302,0.7209,0.7209,0.7209,0.6624,0.6624,0.6624,0.5289,0.5289,0.5289
80,0.5734,0.5734,0.5734,0.6742,0.6742,0.6742,0.6836,0.6836,0.6836,0.6479,0.6479,0.6479
81,0.5375,0.5375,0.5375,0.7677,0.7677,0.7677,0.6343,0.6343,0.6343,0.5889,0.5889,0.5889
82,0.5677,0.5677,0.5677,0.7619,0.7619,0.7619,0.5536,0.5536,0.5536,0.554,0.554,0.554
83,0.4909,0.4909,0.4909,0.6243,0.6243,0.6243,0.6476,0.6476,0.6476,0.5515,0.5515,0.5515
84,0.552,0.552,0.552,0.6821,0.6821,0.6821,0.696,0.696,0.696,0.5102,0.5102,0.5102
85,0.5622,0.5622,0.5622,0.6122,0.6122,0.6122,0.6996,0.6996,0.6996,0.585,0.585,0.585
86,0.5336,0.5336,0.5336,0.6696,0.6696,0.6696,0.6934,0.6934,0.6934,0.6311,0.6311,0.6311
87,0.5467,0.5467,0.5467,0.6645,0.6645,0.6645,0.6914,0.6914,0.6914,0.6421,0.6421,0.6421
88,0.6663,0.6663,0.6663,0.6612,0.6612,0.6612,0.6794,0.6794,0.6794,0.6069,0.6069,0.6069
89,0.5956,0.5956,0.5956,0.5453,0.5453,0.5453,0.6924,0.6924,0.6924,0.5764,0.5764,0.5764
90,0.6538,0.6538,0.6538,0.7278,0.7278,0.7278,0.6649,0.6649,0.6649,0.6036,0.6036,0.6036
91,0.6377,0.6377,0.6377,0.7065,0.7065,0.7065,0.6812,0.6812,0.6812,0.6641,0.6641,0.6641
92,0.6154,0.6154,0.6154,0.7232,0.7232,0.7232,0.696,0.696,0.696,0.6288,0.6288,0.6288
93,0.5788,0.5788,0.5788,0.7098,0.7098,0.7098,0.6925,0.6925,0.6925,0.5829,0.5829,0.5829
94,0.5691,0.5691,0.5691,0.7577,0.7577,0.7577,0.676,0.676,0.676,0.6257,0.6257,0.6257
95,0.6405,0.6405,0.6405,0.6874,0.6874,0.6874,0.6549,0.6549,0.6549,0.5624,0.5624,0.5624
96,0.5892,0.5892,0.5892,0.583,0.583,0.583,0.69,0.69,0.69,0.5879,0.5879,0.5879
97,0.5701,0.5701,0.5701,0.6698,0.6698,0.6698,0.6942,0.6942,0.6942,0.5393,0.5393,0.5393
