Step,Pow-d - Test/Acc,Pow-d - Test/Acc__MIN,Pow-d - Test/Acc__MAX,GPFL - Test/Acc,GPFL - Test/Acc__MIN,GPFL - Test/Acc__MAX,FedCor - Test/Acc,FedCor - Test/Acc__MIN,FedCor - Test/Acc__MAX,Random - Test/Acc,Random - Test/Acc__MIN,Random - Test/Acc__MAX
434,0.5016,0.5016,0.5016,0.6738,0.6738,0.6738,0.6672,0.6672,0.6672,0.5829,0.5829,0.5829
435,0.6299,0.6299,0.6299,0.7688,0.7688,0.7688,0.6233,0.6233,0.6233,0.5677,0.5677,0.5677
436,0.5104,0.5104,0.5104,0.7807,0.7807,0.7807,0.6395,0.6395,0.6395,0.5677,0.5677,0.5677
437,0.6077,0.6077,0.6077,0.7766,0.7766,0.7766,0.6373,0.6373,0.6373,0.639,0.639,0.639
438,0.509,0.509,0.509,0.7515,0.7515,0.7515,0.6763,0.6763,0.6763,0.7017,0.7017,0.7017
439,0.5878,0.5878,0.5878,0.7788,0.7788,0.7788,0.7002,0.7002,0.7002,0.5892,0.5892,0.5892
440,0.5864,0.5864,0.5864,0.7587,0.7587,0.7587,0.7064,0.7064,0.7064,0.5888,0.5888,0.5888
441,0.6294,0.6294,0.6294,0.7964,0.7964,0.7964,0.7088,0.7088,0.7088,0.6155,0.6155,0.6155
442,0.5145,0.5145,0.5145,0.7913,0.7913,0.7913,0.7034,0.7034,0.7034,0.631,0.631,0.631
443,0.6585,0.6585,0.6585,0.7784,0.7784,0.7784,0.6954,0.6954,0.6954,0.7035,0.7035,0.7035
444,0.5967,0.5967,0.5967,0.7905,0.7905,0.7905,0.6839,0.6839,0.6839,0.6441,0.6441,0.6441
445,0.4022,0.4022,0.4022,0.7902,0.7902,0.7902,0.6814,0.6814,0.6814,0.6172,0.6172,0.6172
446,0.6431,0.6431,0.6431,0.7676,0.7676,0.7676,0.7007,0.7007,0.7007,0.5989,0.5989,0.5989
447,0.6313,0.6313,0.6313,0.7715,0.7715,0.7715,0.5877,0.5877,0.5877,0.5501,0.5501,0.5501
448,0.6493,0.6493,0.6493,0.748,0.748,0.748,0.6808,0.6808,0.6808,0.6175,0.6175,0.6175
449,0.5338,0.5338,0.5338,0.7602,0.7602,0.7602,0.6899,0.6899,0.6899,0.6539,0.6539,0.6539
450,0.5552,0.5552,0.5552,0.7337,0.7337,0.7337,0.7008,0.7008,0.7008,0.5331,0.5331,0.5331
451,0.5345,0.5345,0.5345,0.7596,0.7596,0.7596,0.7139,0.7139,0.7139,0.5683,0.5683,0.5683
452,0.5004,0.5004,0.5004,0.7513,0.7513,0.7513,0.6945,0.6945,0.6945,0.5502,0.5502,0.5502
453,0.6242,0.6242,0.6242,0.8091,0.8091,0.8091,0.7041,0.7041,0.7041,0.5028,0.5028,0.5028
454,0.622,0.622,0.622,0.7807,0.7807,0.7807,0.7164,0.7164,0.7164,0.4337,0.4337,0.4337
455,0.6189,0.6189,0.6189,0.7897,0.7897,0.7897,0.6802,0.6802,0.6802,0.6033,0.6033,0.6033
456,0.5747,0.5747,0.5747,0.7593,0.7593,0.7593,0.6878,0.6878,0.6878,0.5935,0.5935,0.5935
457,0.6652,0.6652,0.6652,0.798,0.798,0.798,0.7057,0.7057,0.7057,0.5871,0.5871,0.5871
458,0.5998,0.5998,0.5998,0.8004,0.8004,0.8004,0.7187,0.7187,0.7187,0.5671,0.5671,0.5671
459,0.4952,0.4952,0.4952,0.797,0.797,0.797,0.6918,0.6918,0.6918,0.6403,0.6403,0.6403
460,0.6156,0.6156,0.6156,0.7891,0.7891,0.7891,0.7089,0.7089,0.7089,0.6285,0.6285,0.6285
461,0.482,0.482,0.482,0.8062,0.8062,0.8062,0.7183,0.7183,0.7183,0.6093,0.6093,0.6093
462,0.6048,0.6048,0.6048,0.7831,0.7831,0.7831,0.5922,0.5922,0.5922,0.5652,0.5652,0.5652
463,0.5119,0.5119,0.5119,0.7211,0.7211,0.7211,0.6887,0.6887,0.6887,0.6294,0.6294,0.6294
464,0.6293,0.6293,0.6293,0.7904,0.7904,0.7904,0.6935,0.6935,0.6935,0.5998,0.5998,0.5998
465,0.5,0.5,0.5,0.7849,0.7849,0.7849,0.7041,0.7041,0.7041,0.6171,0.6171,0.6171
466,0.6572,0.6572,0.6572,0.8081,0.8081,0.8081,0.691,0.691,0.691,0.5645,0.5645,0.5645
467,0.678,0.678,0.678,0.7604,0.7604,0.7604,0.6818,0.6818,0.6818,0.6832,0.6832,0.6832
468,0.6313,0.6313,0.6313,0.7915,0.7915,0.7915,0.6952,0.6952,0.6952,0.5955,0.5955,0.5955
469,0.6202,0.6202,0.6202,0.7764,0.7764,0.7764,0.632,0.632,0.632,0.5833,0.5833,0.5833
470,0.5413,0.5413,0.5413,0.6964,0.6964,0.6964,0.6799,0.6799,0.6799,0.5914,0.5914,0.5914
471,0.6687,0.6687,0.6687,0.6912,0.6912,0.6912,0.6573,0.6573,0.6573,0.6241,0.6241,0.6241
472,0.7289,0.7289,0.7289,0.7616,0.7616,0.7616,0.6423,0.6423,0.6423,0.6097,0.6097,0.6097
473,0.578,0.578,0.578,0.7622,0.7622,0.7622,0.6496,0.6496,0.6496,0.6262,0.6262,0.6262
474,0.5514,0.5514,0.5514,0.7562,0.7562,0.7562,0.7125,0.7125,0.7125,0.6236,0.6236,0.6236
475,0.6041,0.6041,0.6041,0.7464,0.7464,0.7464,0.6376,0.6376,0.6376,0.684,0.684,0.684
476,0.6691,0.6691,0.6691,0.7824,0.7824,0.7824,0.694,0.694,0.694,0.6266,0.6266,0.6266
477,0.6524,0.6524,0.6524,0.7771,0.7771,0.7771,0.7076,0.7076,0.7076,0.6496,0.6496,0.6496
478,0.5396,0.5396,0.5396,0.7685,0.7685,0.7685,0.7144,0.7144,0.7144,0.573,0.573,0.573
479,0.6827,0.6827,0.6827,0.7684,0.7684,0.7684,0.6506,0.6506,0.6506,0.5383,0.5383,0.5383
480,0.551,0.551,0.551,0.8149,0.8149,0.8149,0.6847,0.6847,0.6847,0.5082,0.5082,0.5082
481,0.545,0.545,0.545,0.7721,0.7721,0.7721,0.6512,0.6512,0.6512,0.5993,0.5993,0.5993
482,0.6999,0.6999,0.6999,0.7768,0.7768,0.7768,0.6889,0.6889,0.6889,0.6362,0.6362,0.6362
483,0.6596,0.6596,0.6596,0.6915,0.6915,0.6915,0.6717,0.6717,0.6717,0.6451,0.6451,0.6451
484,0.6492,0.6492,0.6492,0.7934,0.7934,0.7934,0.6401,0.6401,0.6401,0.5904,0.5904,0.5904
485,0.6116,0.6116,0.6116,0.7859,0.7859,0.7859,0.6727,0.6727,0.6727,0.6469,0.6469,0.6469
486,0.5506,0.5506,0.5506,0.7583,0.7583,0.7583,0.683,0.683,0.683,0.5571,0.5571,0.5571
487,0.5737,0.5737,0.5737,0.8067,0.8067,0.8067,0.692,0.692,0.692,0.6456,0.6456,0.6456
488,0.4751,0.4751,0.4751,0.7731,0.7731,0.7731,0.7027,0.7027,0.7027,0.7144,0.7144,0.7144
489,0.6272,0.6272,0.6272,0.7425,0.7425,0.7425,0.6757,0.6757,0.6757,0.5304,0.5304,0.5304
490,0.5891,0.5891,0.5891,0.7865,0.7865,0.7865,0.6964,0.6964,0.6964,0.6463,0.6463,0.6463
491,0.6288,0.6288,0.6288,0.7827,0.7827,0.7827,0.6626,0.6626,0.6626,0.6009,0.6009,0.6009
492,0.5566,0.5566,0.5566,0.8088,0.8088,0.8088,0.6476,0.6476,0.6476,0.4935,0.4935,0.4935
493,0.5299,0.5299,0.5299,0.7878,0.7878,0.7878,0.6915,0.6915,0.6915,0.5501,0.5501,0.5501
494,0.6413,0.6413,0.6413,0.7582,0.7582,0.7582,0.6616,0.6616,0.6616,0.6275,0.6275,0.6275
495,0.5194,0.5194,0.5194,0.7713,0.7713,0.7713,0.7167,0.7167,0.7167,0.6705,0.6705,0.6705
496,0.6472,0.6472,0.6472,0.7745,0.7745,0.7745,0.663,0.663,0.663,0.6545,0.6545,0.6545
497,0.6031,0.6031,0.6031,0.7709,0.7709,0.7709,0.6927,0.6927,0.6927,0.6409,0.6409,0.6409
498,0.5048,0.5048,0.5048,0.817,0.817,0.817,0.7031,0.7031,0.7031,0.6715,0.6715,0.6715
499,0.5972,0.5972,0.5972,0.7587,0.7587,0.7587,0.7201,0.7201,0.7201,0.5148,0.5148,0.5148
